% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
45.33,895.14,23.03,10164,22424,5/20/2018 9:00:00 PM,5/20/2018 9:00:00 PM,453,10,5,5,25,334.81,1,1705,584,2,171.58,17,1,21,21463,847,240.77
48.54,763.7,28.67,14481,29830,5/18/2018 11:00:00 AM,5/18/2018 11:00:00 AM,18,14,5,5,38,545.15,1,2704,59,4,257.18,983,1,21,28423,848,562.27
49.74,872.68,28.75,14048,28244,5/4/2018 11:00:00 AM,5/4/2018 11:00:00 AM,15,15,5,5,47,939.15,1,2788,58,3,261.54,938,1,21,26845,851,487.85
49.7,890.15,28.76,15361,30905,5/10/2018 5:00:00 AM,5/10/2018 5:00:00 AM,21,15,5,5,113,825.81,1,3046,78,4,251.96,894,1,21,29439,852,553.2
49.8,785.06,28.45,16085,32298,5/16/2018 6:00:00 AM,5/16/2018 6:00:00 AM,16,16,5,5,55,568.56,1,2914,62,4,258.66,974,1,21,30659,853,530.25
49.96,978.47,26.51,14704,29433,5/28/2018 3:00:00 PM,5/28/2018 3:00:00 PM,41,14,5,5,30,85.97,1,3055,79,4,249.07,751,1,21,28049,858,466.93
50.6,633.22,28.44,15936,31496,5/10/2018 6:00:00 AM,5/10/2018 6:00:00 AM,22,16,5,5,66,145.51,1,3065,72,5,259.64,96,2,21,29942,864,627.67
47.04,652.41,25.97,15013,31918,5/28/2018 2:00:00 PM,5/28/2018 2:00:00 PM,93,27,5,5,25,25.84,1,2860,129,4,246.9,874,1,21,29078,874,453.98
50.32,51.99,28.32,14745,29301,5/11/2018 11:00:00 AM,5/11/2018 11:00:00 AM,21,16,5,5,55,821.26,1,2904,68,4,255.12,62,2,21,27891,881,573.84
44.94,337.17,23.15,12774,28425,5/28/2018 1:00:00 AM,5/28/2018 1:00:00 AM,554,13,5,5,18,188.52,1,1966,687,3,148.41,216,1,21,27107,884,296.31
22.13,460.93,27.45,18098,81791,5/3/2018 11:00:00 PM,5/3/2018 11:00:00 PM,15,406.61,5,5,73,561.86,1,2814,65,12,305.97,471,3,21,54878,890,1
49.7,956.44,27.15,15073,30331,5/23/2018 5:00:00 AM,5/23/2018 5:00:00 AM,8,15,5,5,40,242.51,1,2798,50,4,250.76,691,1,21,28847,893,469.6
45.23,864.52,21.79,9718,21486,5/27/2018 9:00:00 PM,5/27/2018 9:00:00 PM,400,11,5,5,24,588.47,1,1655,484,2,169.75,75,1,21,20587,895,250.5
46.65,181.88,22.14,9381,20110,5/13/2018 10:00:00 PM,5/13/2018 10:00:00 PM,419,205.8,5,5,20,240.52,1,1740,549,127.57,2,341.1,907,21,19141,897,9
52.26,163.12,27.48,14189,27150,5/10/2018 11:00:00 AM,5/10/2018 11:00:00 AM,17,15,5,5,43,568.69,1,2804,60,4,228.83,974,1,21,25654,899,536.76
47.43,163.61,27.29,15023,31672,5/17/2018 5:00:00 AM,5/17/2018 5:00:00 AM,18,15,5,5,37,508.47,1,2862,59,4,255.72,776,1,21,30081,899,552.77
49.96,844.77,26.63,16289,32605,5/18/2018 6:00:00 AM,5/18/2018 6:00:00 AM,14,16,5,5,98,382.7,1,2887,67,5,260.4,99,2,21,31037,914,605.23
43.37,807.96,20.67,9551,22020,5/27/2018 7:00:00 PM,5/27/2018 7:00:00 PM,387,11,5,5,20,920.64,1,1515,479,1,169.93,0,1,21,21118,919,211.46
24.39,533.43,26.57,16212,66459,5/4/2018 12:00:00 AM,5/4/2018 12:00:00 AM,9,11.59,5,5,58,486.71,1,2548,49,8,282.38,618,2,21,44485,923,1
51.35,952.3,26.32,14887,28992,5/3/2018 6:00:00 AM,5/3/2018 6:00:00 AM,9,36,5,5,81,527.42,1,2931,59,4,266.42,796,1,21,27503,930,527.36
51.16,109.8,18.08,11130,21756,5/6/2018 4:00:00 PM,5/6/2018 4:00:00 PM,601,9,5,5,86,306.05,1,1794,993,2,182.5,0,1,21,20792,949,259.62
50.7,621.04,25.93,16169,31890,5/25/2018 6:00:00 AM,5/25/2018 6:00:00 AM,12,19,5,5,53,804.73,1,3047,60,4,251,855,1,21,30312,973,526.37
19.12,785.74,30.11,17090,89398,5/11/2018 10:00:00 PM,5/11/2018 10:00:00 PM,9,17,5,5,90,560.65,1,2937,70,4,273.53,995,1,22,55210,826,520.35
12.14,474.05,29.33,17418,143526,5/18/2018 10:00:00 PM,5/18/2018 10:00:00 PM,11,16,5,5,108,940.28,1,2835,75,4,263.31,55,2,22,86389,828,545.74
21.36,582.85,28.86,16705,78201,5/15/2018 11:00:00 PM,5/15/2018 11:00:00 PM,17,15,5,5,112,252.84,1,2924,74,4,278.19,913,1,22,57351,836,483.93
50.79,239.09,28.47,14488,28523,5/25/2018 11:00:00 AM,5/25/2018 11:00:00 AM,25,15,5,5,45,437.32,1,2786,66,4,257.81,994,1,22,27074,837,521.6
50.35,17.62,28.96,16532,32835,5/3/2018 7:00:00 AM,5/3/2018 7:00:00 AM,13,18,5,5,98,897.21,1,3150,74,4,308.25,119,2,22,31153,840,584.26
46.14,168.39,23.52,10144,21983,5/20/2018 11:00:00 PM,5/20/2018 11:00:00 PM,457,354.02,5,5,19,212.03,1,1577,512,916.37,1,209.74,942,22,21033,845,10
44.75,902.57,23.26,10053,22467,5/20/2018 10:00:00 PM,5/20/2018 10:00:00 PM,623,9,5,5,28,318.68,1,1623,762,2,173.13,2,1,22,21560,847,236.66
9.7,63.76,28.32,19998,206233,5/9/2018 11:00:00 PM,5/9/2018 11:00:00 PM,12,825.64,5,5,62,177.92,1,2842,59,12,373.06,747,3,22,123165,861,1
44.73,692.2,21.31,10015,22388,5/27/2018 6:00:00 PM,5/27/2018 6:00:00 PM,503,10,5,5,28,162.06,1,1631,676,2,178.44,19,1,22,21477,865,234.94
46.78,645.65,21.36,10863,23223,5/20/2018 6:00:00 PM,5/20/2018 6:00:00 PM,617,9,5,5,26,109.67,1,1618,848,3,170.82,133,1,22,22267,867,347.74
19.56,821,27.98,17065,87226,5/25/2018 8:00:00 PM,5/25/2018 8:00:00 PM,12,15,5,5,35,548.38,1,3086,55,4,272.49,42,2,22,59091,874,528.3
44.76,179.63,22.91,9800,21894,5/13/2018 11:00:00 PM,5/13/2018 11:00:00 PM,382,189.22,5,5,27,213.26,1,1731,454,892.2,1,978.83,963,22,20953,874,10
47.97,217.84,25.79,13192,27499,5/28/2018 1:00:00 PM,5/28/2018 1:00:00 PM,39,14,5,5,31,856.02,1,2623,78,3,246.71,705,1,22,26156,879,444.49
45.77,720.73,21.57,11123,24303,5/20/2018 7:00:00 PM,5/20/2018 7:00:00 PM,508,10,5,5,25,400.82,1,1660,690,3,177.88,225,1,22,23016,882,363.97
50.9,346.05,27.19,15375,30207,5/15/2018 11:00:00 AM,5/15/2018 11:00:00 AM,40,16,5,5,46,708.56,1,2814,84,4,261.19,73,2,22,28646,882,577.61
