% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
53.14,877.2,28.79,19399,36509,2/8/2018 6:00:00 PM,2/8/2018 6:00:00 PM,35,22,4,4,61,106.41,1,3989,100,7,341.82,895,2,33,34346,856,774.92
50.62,240.06,28.44,15900,31408,3/29/2018 1:00:00 AM,3/29/2018 1:00:00 AM,7,15,4,4,204,103.79,1,2636,86,9,223.17,818,2,33,29942,857,845.96
10.2,710.43,28.59,21390,209636,3/1/2018 3:00:00 PM,3/1/2018 3:00:00 PM,31,22,4,4,82,159.47,1,3960,99,7,361,794,2,33,123178,857,823.19
49.8,533.94,23.64,11445,22983,1/8/2018 3:00:00 AM,1/8/2018 3:00:00 AM,4,12,4,4,34,511.09,1,1980,35,4,240.29,542,1,33,21838,858,422.66
10.44,108.82,28.96,20720,198449,3/2/2018 6:00:00 PM,3/2/2018 6:00:00 PM,25,30,4,4,95,699.34,1,3878,94,6,365.65,749,2,33,120146,858,741.47
51.63,945.19,29.07,22341,43269,4/19/2018 3:00:00 PM,4/19/2018 3:00:00 PM,27,24,4,4,84,731.87,1,4046,109,6,342.53,113,3,33,40943,858,855.9
54.31,634.59,27.66,18618,34284,2/27/2018 3:00:00 PM,2/27/2018 3:00:00 PM,14,20,4,4,67,595.71,1,3780,77,6,346.27,824,2,33,32076,861,823.47
52.67,47.48,28.36,19976,37925,4/10/2018 7:00:00 PM,4/10/2018 7:00:00 PM,43,23,4,4,181,13.71,1,3717,140,7,337.69,854,2,33,35958,862,795.92
52.69,178.19,28.47,20566,39030,4/18/2018 5:00:00 PM,4/18/2018 5:00:00 PM,29,19,4,4,70,442.83,1,3829,106,6,341.48,765,2,33,36887,864,770.21
50.6,169.99,23.71,12635,24968,1/8/2018 4:00:00 AM,1/8/2018 4:00:00 AM,6,316.18,4,4,58,401.91,1,2027,49,17,243.13,236,4,33,23757,865,1
17.9,429.37,28.69,21975,122751,3/23/2018 3:00:00 PM,3/23/2018 3:00:00 PM,24,24,4,4,299,13.87,1,4295,174,7,364.19,890,2,33,81459,866,803.09
52.59,695.3,28.52,21887,41616,4/12/2018 3:00:00 PM,4/12/2018 3:00:00 PM,39,25,4,4,58,854.72,1,4115,110,6,355.03,15,3,33,39505,866,868.87
15.69,123.1,27.9,19836,126397,3/6/2018 9:00:00 PM,3/6/2018 9:00:00 PM,14,20,4,4,155,75.62,1,3977,84,6,355.01,684,2,33,67633,868,716.46
49.24,684.1,24,12728,25848,3/19/2018 2:00:00 AM,3/19/2018 2:00:00 AM,114,17,4,4,80,81.74,1,2207,152,4,198.73,534,1,33,24570,869,378.3
16.98,205.98,27.8,22517,132614,5/2/2018 6:00:00 PM,5/2/2018 6:00:00 PM,20,22,4,4,187,178.87,1,3851,139,7,354.01,25,3,33,86792,871,767.97
18.94,585.4,28.08,22397,118281,5/3/2018 2:00:00 PM,5/3/2018 2:00:00 PM,31,23,4,4,58,376.42,1,3765,95,6,347.98,7,3,33,82006,872,805.23
17.89,6.71,26.06,22128,123719,4/30/2018 5:00:00 PM,4/30/2018 5:00:00 PM,71,24,4,4,157,967.17,1,3775,177,6,322.89,792,2,33,83289,875,785.04
53.34,133.39,26.47,20579,38578,4/3/2018 2:00:00 PM,4/3/2018 2:00:00 PM,26,21,4,4,159,516.46,1,3838,117,7,342.44,51,3,33,36514,878,865.31
49.39,64.62,26.52,21157,42834,4/9/2018 5:00:00 PM,4/9/2018 5:00:00 PM,53,23,4,4,168,225.09,1,3888,153,7,355.15,36,3,33,40763,880,822.54
52.13,68.52,26.68,18468,35426,1/4/2018 6:00:00 PM,1/4/2018 6:00:00 PM,22,29,4,4,48,110.98,1,3847,83,7,347.23,778,2,33,33317,883,819.68
53.19,680.62,26,19112,35931,3/12/2018 2:00:00 PM,3/12/2018 2:00:00 PM,60,21,4,4,99,912.54,1,3986,129,6,348.57,824,2,33,33796,883,800.17
45.9,458.54,23.51,14120,30764,1/8/2018 5:00:00 AM,1/8/2018 5:00:00 AM,4,148.39,4,4,48,792.65,1,2395,46,28,241.91,444,6,33,26606,883,2
53.31,631.82,25.58,17654,33118,1/8/2018 8:00:00 PM,1/8/2018 8:00:00 PM,28,27,4,4,51,239.13,1,3478,92,6,315.19,638,2,33,31233,884,756.28
47.96,947.3,27.01,22362,46625,4/24/2018 3:00:00 PM,4/24/2018 3:00:00 PM,38,23,4,4,67,928.6,1,4138,117,6,351.43,10,3,33,44329,884,848.83
10.68,694.4,27.08,23169,216964,5/22/2018 6:00:00 PM,5/22/2018 6:00:00 PM,34,28,4,4,81,653.56,1,3869,107,6,361.24,728,2,33,139460,886,785.82
17.45,638.13,28.16,23381,133988,5/10/2018 4:00:00 PM,5/10/2018 4:00:00 PM,45,26,4,4,99,513.84,1,3877,131,6,363.42,882,2,33,86168,886,805.94
54.19,975.3,27.1,20894,38557,5/8/2018 5:00:00 PM,5/8/2018 5:00:00 PM,33,20,4,4,71,385.68,1,3849,109,6,327.38,794,2,33,36324,889,841.58
