% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
50.76,179.49,30.31,7433,14645,3/11/2018 1:00:00 AM,3/11/2018 1:00:00 AM,42,846.5,7,7,71,209.18,1,1479,63,956.06,1,929.41,767,9,13849,817,14
48.83,181.69,29.52,7486,15332,3/11/2018 5:00:00 AM,3/11/2018 5:00:00 AM,29,771.13,7,7,81,206.97,1,1513,62,68.97,2,508.33,818,9,14459,842,12
53.37,170.19,28.07,7957,14909,3/11/2018 3:00:00 AM,3/11/2018 3:00:00 AM,16,902.74,7,7,67,181.53,1,1469,36,748.43,1,897.1,737,9,14025,887,12
51.56,181.11,30.84,7660,14858,3/17/2018 10:00:00 PM,3/17/2018 10:00:00 PM,41,90.92,7,7,162,202.05,1,1521,66,96.79,2,453.7,777,10,14037,811,34
53,172.13,30.78,6815,12858,3/18/2018 12:00:00 AM,3/18/2018 12:00:00 AM,8,542.41,7,7,199,196.48,1,1474,30,971.33,1,441.4,750,10,12128,813,31
52.12,180.16,30.75,7762,14892,3/17/2018 9:00:00 PM,3/17/2018 9:00:00 PM,85,359.59,7,7,188,202.42,1,1550,109,975.45,1,16.62,805,10,14034,813,45
51.46,181.1,29.84,7725,15012,3/10/2018 9:00:00 PM,3/10/2018 9:00:00 PM,20,314.49,7,7,102,204.7,1,1587,45,914.25,1,497.98,853,10,14178,829,14
50.39,178.37,29.39,7869,15616,3/10/2018 8:00:00 PM,3/10/2018 8:00:00 PM,70,696.33,7,7,79,229.28,1,1614,92,61.66,2,981.44,926,10,14775,842,13
47.36,336.61,28.96,8744,18462,3/11/2018 1:00:00 PM,3/11/2018 1:00:00 PM,297,11,7,7,78,194.26,1,1698,333,2,186.93,89,1,10,17658,864,229.94
52.73,182.72,29.01,7497,14219,3/18/2018 2:00:00 AM,3/18/2018 2:00:00 AM,37,981.13,7,7,231,225.4,1,1542,64,176.92,2,809.23,833,10,13445,866,32
44.86,961.43,28.14,7731,17234,3/10/2018 11:00:00 AM,3/10/2018 11:00:00 AM,9,10,7,7,76,454.57,1,1519,29,2,183.38,8,1,10,16503,878,220.9
49.05,184.96,28.34,7592,15480,3/11/2018 6:00:00 AM,3/11/2018 6:00:00 AM,19,351.42,7,7,78,218.28,1,1503,42,185.42,2,495.54,862,10,14724,879,13
44.87,261.87,27.61,7989,17803,3/10/2018 12:00:00 PM,3/10/2018 12:00:00 PM,1,11,7,7,74,313.99,1,1546,22,2,182.35,50,1,10,17000,898,225.8
46.93,725.93,30.99,9542,20331,3/17/2018 2:00:00 PM,3/17/2018 2:00:00 PM,110,13,7,7,157,465.06,1,1708,143,2,197.08,175,1,11,19426,805,241.47
51.58,175.94,30.85,6858,13297,3/17/2018 11:00:00 PM,3/17/2018 11:00:00 PM,16,462.09,7,7,170,180.42,1,1443,36,1.34,2,844.61,731,11,12596,811,33
50.55,193.57,30.87,7012,13872,3/18/2018 1:00:00 AM,3/18/2018 1:00:00 AM,15,354.4,7,7,223,226.95,1,1544,38,280.67,2,240.25,816,11,13137,811,31
46.04,554.4,30.39,8442,18336,3/17/2018 10:00:00 AM,3/17/2018 10:00:00 AM,1,10,7,7,132,979.05,1,1668,27,2,198.63,139,1,11,17505,820,258.53
43.58,346.26,30.23,9019,20693,3/31/2018 8:00:00 PM,3/31/2018 8:00:00 PM,2,11,7,7,23,191.1,1,1494,20,2,167.14,34,1,11,19923,824,249.37
44.08,328.81,30.23,8801,19966,3/31/2018 9:00:00 PM,3/31/2018 9:00:00 PM,3,10,7,7,25,214.96,1,1480,21,2,163.09,22,1,11,19224,824,215.75
49.71,176.58,30.25,6770,13619,3/4/2018 12:00:00 AM,3/4/2018 12:00:00 AM,31,625.54,7,7,34,198.73,1,1501,49,65.26,2,26.1,805,11,12907,824,30
48.7,182.45,30.29,6668,13692,3/4/2018 2:00:00 AM,3/4/2018 2:00:00 AM,32,145.31,7,7,31,245.22,1,1423,51,500.61,2,634.47,850,11,13010,824,30
48.63,175.44,30.21,6671,13718,3/3/2018 11:00:00 PM,3/3/2018 11:00:00 PM,27,1.31,7,7,28,199,1,1453,43,114.81,2,695.03,804,11,13022,825,27
50.21,173.07,30.12,7642,15218,3/3/2018 8:00:00 PM,3/3/2018 8:00:00 PM,18,646.5,7,7,34,215.91,1,1650,37,219.02,2,109.55,847,11,14435,826,30
50.92,194.76,30.32,7666,15056,3/17/2018 8:00:00 PM,3/17/2018 8:00:00 PM,22,763.25,7,7,162,261.75,1,1550,46,534.87,2,136.64,885,11,14211,826,33
49.87,987.91,30.39,8904,17853,3/18/2018 10:00:00 AM,3/18/2018 10:00:00 AM,473,10,7,7,79,706.15,1,1594,633,2,181.99,140,1,11,17018,828,256.43
47.01,369.63,30.02,8360,17785,3/17/2018 12:00:00 PM,3/17/2018 12:00:00 PM,23,10,7,7,92,447.38,1,1554,46,2,198.4,75,1,11,16947,831,239.43
50.99,184.23,29.75,8523,16717,3/10/2018 7:00:00 PM,3/10/2018 7:00:00 PM,106,459.99,7,7,69,241.42,1,1740,129,362.51,2,742.15,903,11,15824,832,14
43.63,469.88,29.67,8678,19892,3/11/2018 7:00:00 AM,3/11/2018 7:00:00 AM,38,12,7,7,79,405.14,1,1579,60,2,193.96,136,1,11,19016,837,236.27
47.11,105.5,29.57,9075,19265,3/11/2018 8:00:00 AM,3/11/2018 8:00:00 AM,111,11,7,7,77,283.87,1,1650,135,2,188.02,108,1,11,18397,837,234.83
51.28,183.8,29.91,7052,13754,3/18/2018 4:00:00 AM,3/18/2018 4:00:00 AM,70,408.66,7,7,152,214.27,1,1474,101,75.78,2,31.57,800,11,12922,840,23
51.19,539.74,29.54,9668,18885,3/11/2018 2:00:00 PM,3/11/2018 2:00:00 PM,429,10,7,7,75,999.6,1,1650,486,1,179.26,8,1,11,18001,846,209.21
48.15,743.88,29.15,9594,19925,3/10/2018 2:00:00 PM,3/10/2018 2:00:00 PM,183,11,7,7,62,567.17,1,2016,208,2,181.04,190,1,11,19017,848,269.88
49.27,177.88,29.45,6757,13714,3/4/2018 6:00:00 AM,3/4/2018 6:00:00 AM,31,875.51,7,7,29,212.66,1,1449,49,261.61,2,262.06,760,11,13022,850,22
48.29,721.26,29.53,8646,17903,3/4/2018 2:00:00 PM,3/4/2018 2:00:00 PM,544,10,7,7,33,175.4,1,1590,745,2,180.55,24,1,11,17130,852,226.39
46.42,171.22,29.14,9971,21480,3/31/2018 11:00:00 AM,3/31/2018 11:00:00 AM,1,450.55,7,7,21,212.13,1,1838,19,181.92,2,47.29,987,11,20704,856,10
48.57,175.92,28.75,8567,17639,3/11/2018 12:00:00 PM,3/11/2018 12:00:00 PM,472,9,7,7,80,192.11,1,1617,619,2,183.23,5,1,11,16839,869,218.91
46.36,178.66,28.61,10314,22249,3/31/2018 1:00:00 PM,3/31/2018 1:00:00 PM,2,10,7,7,19,270.92,1,1896,19,2,177.05,60,1,11,21456,874,224.7
47.14,218.43,28.28,8468,17964,3/10/2018 1:00:00 PM,3/10/2018 1:00:00 PM,29,10,7,7,75,518.07,1,1694,57,2,188.59,32,1,11,17119,875,246.72
46.33,202.51,28.85,8506,18361,3/18/2018 11:00:00 AM,3/18/2018 11:00:00 AM,646,10,7,7,63,278.8,1,1495,893,2,187.03,36,1,11,17597,877,226.64
44.14,749.98,28.29,9484,21488,3/31/2018 8:00:00 AM,3/31/2018 8:00:00 AM,2,11,7,7,33,455.36,1,1668,22,2,177.89,97,1,11,20698,884,251.57
46.67,460.37,28.53,9559,20485,3/18/2018 7:00:00 AM,3/18/2018 7:00:00 AM,121,14,7,7,92,216.63,1,1476,143,2,180.29,245,1,11,19761,884,233.77
47.59,199.56,28.24,7209,15148,3/18/2018 3:00:00 AM,3/18/2018 3:00:00 AM,36,910.51,7,7,204,213.15,1,1543,67,169.12,2,551.31,797,11,14375,892,27
